width,radius,dy,timepoint,diodicity
0.07,0.09,0.3,10,
0.07,0.09,0.3,20,
0.07,0.09,0.3,30,
0.07,0.09,0.3,40,0.0
0.07,0.09,0.3,50,0.0005509979804097549
0.07,0.09,0.3,60,0.0013527564498559024
0.07,0.09,0.3,70,0.042797751991691085
0.07,0.09,0.3,80,0.4990198418815425
0.07,0.09,0.3,90,0.8921712439958526
0.07,0.09,0.3,100,0.9414684410637936
0.07,0.09,0.3,110,0.9535975828550668
0.07,0.09,0.3,120,0.9551290004405808
0.07,0.09,0.3,130,0.9681324566437457
0.07,0.09,0.3,140,0.9643088271453839
0.07,0.09,0.3,150,0.9717542932009251
0.07,0.09,0.3,160,0.9697115817672953
0.07,0.09,0.3,170,0.974002949351175
0.07,0.09,0.3,180,0.9727085123610375
0.07,0.09,0.3,190,0.9756476303566769
0.07,0.09,0.3,200,0.9751478248889363
0.07,0.09,0.3,210,0.9829283726588546
0.07,0.09,0.3,220,1.0029693683931153
0.07,0.09,0.3,230,1.041338485241239
0.07,0.09,0.3,240,1.0856181964262646
0.07,0.09,0.3,250,1.1361622947269752
0.07,0.09,0.3,260,1.194523334543215
0.07,0.09,0.3,270,1.2472554912146936
0.07,0.09,0.3,280,1.276758851284873
0.07,0.09,0.3,290,1.2842800501893012
0.07,0.09,0.3,300,1.2864068559260098
0.07,0.09,0.3,310,1.291357065869319
0.07,0.09,0.3,320,1.2969100427407187
0.07,0.09,0.3,330,1.2981139498594467
0.07,0.09,0.3,340,1.2999387267817364
0.07,0.09,0.3,350,1.3083960067376104
0.07,0.09,0.3,360,1.3309310161980497
0.07,0.09,0.3,370,1.3735159337840448
0.07,0.09,0.3,380,1.437039409456747
0.07,0.09,0.3,390,1.5126882020030623
0.07,0.09,0.3,400,1.5824753259818904
0.07,0.09,0.3,410,1.6344778054515836
0.07,0.09,0.3,420,1.6650500065936793
0.07,0.09,0.3,430,1.6754479564670464
0.07,0.09,0.3,440,1.669246035127082
0.07,0.09,0.3,450,1.659603269296447
0.07,0.09,0.3,460,1.662227714304346
0.07,0.09,0.3,470,1.6793727329188517
0.07,0.09,0.3,480,1.6987869575137209
0.07,0.09,0.3,490,1.7094817561082334
0.07,0.09,0.3,500,1.718338939680674
0.07,0.09,0.3,510,1.7353743741758467
0.07,0.09,0.3,520,1.7635539663263333
0.07,0.09,0.3,530,1.791293976211438
0.07,0.09,0.3,540,1.8025882769629766
0.07,0.09,0.3,550,1.8009637380062005
0.07,0.09,0.3,560,1.8101527436095235
0.07,0.09,0.3,570,1.8423123214251163
0.07,0.09,0.3,580,1.8749264426860544
0.07,0.09,0.3,590,1.8707872531908794
0.07,0.09,0.3,600,1.8279604715813906
0.07,0.09,0.3,610,1.7829596845608642
0.07,0.09,0.3,620,1.7620979576547269
0.07,0.09,0.3,630,1.7632411670750794
0.07,0.09,0.3,640,1.7609835303528703
0.07,0.09,0.3,650,1.7150469279134808
0.07,0.09,0.3,660,1.6045778234169066
0.07,0.09,0.3,670,1.4605108141620664
0.07,0.09,0.3,680,1.3301042836695436
0.07,0.09,0.3,690,1.235649270910676
0.07,0.09,0.3,700,1.1794520695451385
0.07,0.09,0.3,710,1.1542994411644483
0.07,0.09,0.3,720,1.1453127141820492
0.07,0.09,0.3,730,1.1331413979859783
0.07,0.09,0.3,740,1.10440480650279
0.07,0.09,0.3,750,1.0596725508543359
0.07,0.09,0.3,760,1.0104435235913682
0.07,0.09,0.3,770,0.9681858823370497
0.07,0.09,0.3,780,0.9349480308679434
0.07,0.09,0.3,790,0.9038129086172273
0.07,0.09,0.3,800,0.8674582953868412
0.07,0.09,0.3,810,0.82694679523164
0.07,0.09,0.3,820,0.7898303996700387
0.07,0.09,0.3,830,0.7611446497137947
0.07,0.09,0.3,840,0.7405454127975291
0.07,0.09,0.3,850,0.7256590646473179
0.07,0.09,0.3,860,0.7153610682078895
0.07,0.09,0.3,870,0.7097381422847316
0.07,0.09,0.3,880,0.7081827530408624
0.07,0.09,0.3,890,0.7081237159511109
0.07,0.09,0.3,900,0.7064921207896367
0.07,0.09,0.3,910,0.702088876875283
0.07,0.09,0.3,920,0.6958297887519355
0.07,0.09,0.3,930,0.6891967896165709
0.07,0.09,0.3,940,0.6832520924902737
0.07,0.09,0.3,950,0.679241575678555
0.07,0.09,0.3,960,0.6790138024855855
0.07,0.09,0.3,970,0.6841913462851433
0.07,0.09,0.3,980,0.6947219934867035
0.07,0.09,0.3,990,0.7086884198783523
0.07,0.09,0.3,1000,0.7238436679806394
0.07,0.09,0.3,1010,0.7392232301255935
0.07,0.09,0.3,1020,0.7551056065835161
0.07,0.09,0.3,1030,0.7716594093675655
0.07,0.09,0.3,1040,0.7884700331237334
0.07,0.09,0.3,1050,0.8054609030721276
0.07,0.09,0.3,1060,0.8236174618628397
0.07,0.09,0.3,1070,0.8440716269879179
0.07,0.09,0.3,1080,0.8665827961989094
0.07,0.09,0.3,1090,0.8895525157840745
0.07,0.09,0.3,1100,0.9118258186974978
0.07,0.09,0.3,1110,0.9341642596153323
0.07,0.09,0.3,1120,0.958340776522754
0.07,0.09,0.3,1130,0.9848302701827047
0.07,0.09,0.3,1140,1.0118589268204785
0.07,0.09,0.3,1150,1.0369950169382447
0.07,0.09,0.3,1160,1.0593858529962858
0.07,0.09,0.3,1170,1.0800374919482933
0.07,0.09,0.3,1180,1.1002873430924167
0.07,0.09,0.3,1190,1.1207508237147898
0.07,0.09,0.3,1200,1.1416993931663366
0.07,0.09,0.3,1210,1.1635562587187738
0.07,0.09,0.3,1220,1.1864465962924662
0.07,0.09,0.3,1230,1.2095489577447944
0.07,0.09,0.3,1240,1.2314504584505814
0.07,0.09,0.3,1250,1.2512240204695595
0.07,0.09,0.3,1260,1.268849108256153
0.07,0.09,0.3,1270,1.2845701854977567
0.07,0.09,0.3,1280,1.2982624753505485
0.07,0.09,0.3,1290,1.3096346364998233
0.07,0.09,0.3,1300,1.3187086407009878
0.07,0.09,0.3,1310,1.3257792779353887
0.07,0.09,0.3,1320,1.3310409140075032
0.07,0.09,0.3,1330,1.3345722595454126
0.07,0.09,0.3,1340,1.3367369100538593
0.07,0.09,0.3,1350,1.3383705617243584
0.07,0.09,0.3,1360,1.340364816435764
0.07,0.09,0.3,1370,1.343000316551149
0.07,0.09,0.3,1380,1.3456888855066786
0.07,0.09,0.3,1390,1.347347382091831
0.07,0.09,0.3,1400,1.3470369915222864
0.07,0.09,0.3,1410,1.3443405133959583
0.07,0.09,0.3,1420,1.3393139945525498
0.07,0.09,0.3,1430,1.3322827804898498
0.07,0.09,0.3,1440,1.3237355594750644
0.07,0.09,0.3,1450,1.3142651834890053
0.07,0.09,0.3,1460,1.3043919339804853
0.07,0.09,0.3,1470,1.2943340455226233
0.07,0.09,0.3,1480,1.2839740331002707
0.07,0.09,0.3,1490,1.2730843172236788
0.07,0.09,0.3,1500,1.2615463917986138
0.07,0.09,0.3,1510,1.2493002108547497
0.07,0.09,0.3,1520,1.236154635898168
0.07,0.09,0.3,1530,1.2218173750492336
0.07,0.09,0.3,1540,1.206213652647409
0.07,0.09,0.3,1550,1.1897359545034842
0.07,0.09,0.3,1560,1.1731052056040259
0.07,0.09,0.3,1570,1.1569886122557782
0.07,0.09,0.3,1580,1.1417556084571903
0.07,0.09,0.3,1590,1.1274942943494781
0.07,0.09,0.3,1600,1.11410763310163
0.07,0.09,0.3,1610,1.1013721070566622
0.07,0.09,0.3,1620,1.0890427855987097
0.07,0.09,0.3,1630,1.077025757776594
0.07,0.09,0.3,1640,1.0654346166131026
0.07,0.09,0.3,1650,1.0544174014830325
0.07,0.09,0.3,1660,1.0439569570405185
0.07,0.09,0.3,1670,1.0339181077699588
0.07,0.09,0.3,1680,1.024283008890496
0.07,0.09,0.3,1690,1.015250055830879
0.07,0.09,0.3,1700,1.0070630543889474
0.07,0.09,0.3,1710,0.9998094698769955
0.07,0.09,0.3,1720,0.9934429177070949
0.07,0.09,0.3,1730,0.9879508614827365
0.07,0.09,0.3,1740,0.9834022432628828
0.07,0.09,0.3,1750,0.9798190474399877
0.07,0.09,0.3,1760,0.9770891653423714
0.07,0.09,0.3,1770,0.9750738350895662
0.07,0.09,0.3,1780,0.973771601097877
0.07,0.09,0.3,1790,0.9733125075154084
0.07,0.09,0.3,1800,0.9737925892393149
0.07,0.09,0.3,1810,0.9751676606337883
0.07,0.09,0.3,1820,0.9773186736468823
0.07,0.09,0.3,1830,0.9801622053307246
0.07,0.09,0.3,1840,0.983652417477009
0.07,0.09,0.3,1850,0.9877093947583307
0.07,0.09,0.3,1860,0.9922096952096847
0.07,0.09,0.3,1870,0.9970526543754216
0.07,0.09,0.3,1880,1.0021841958661313
0.07,0.09,0.3,1890,1.0075315945974104
0.07,0.09,0.3,1900,1.0129598634344164
0.07,0.09,0.3,1910,1.0183453267946392
0.07,0.09,0.3,1920,1.0236846229804684
0.07,0.09,0.3,1930,1.0290854026325285
0.07,0.09,0.3,1940,1.0346379338282619
0.07,0.09,0.3,1950,1.0403264796991103
0.07,0.09,0.3,1960,1.0460766209384524
0.07,0.09,0.3,1970,1.051847775401744
0.07,0.09,0.3,1980,1.0576383369491411
0.07,0.09,0.3,1990,1.0634172786311735
0.07,0.09,0.3,2000,1.0691014323319894
0.07,0.09,0.3,2010,1.07461564798507
0.07,0.09,0.3,2020,1.0799452626010073
0.07,0.09,0.3,2030,1.0851115178145312
0.07,0.09,0.3,2040,1.0901220819908506
